item_id,restaurant_id,item_name,category,price
1,1246,Operation,Non-Veg,150
2,2262,Tax,Non-Veg,476
3,916,Hold,Non-Veg,352
4,2640,Side,Veg,595
5,3890,Low,Veg,172
6,4482,Activity,Non-Veg,311
7,1327,Explain,Non-Veg,531
8,3359,No,Veg,311
9,1586,Deal,Veg,350
10,3369,Exactly,Veg,267
11,389,Shake,Non-Veg,362
12,2792,Water,Veg,430
13,3333,Decade,Veg,568
14,704,Institution,Veg,329
15,2821,Drug,Veg,338
16,4960,We,Veg,374
17,1060,Interview,Non-Veg,593
18,4175,Property,Veg,242
19,1299,Radio,Non-Veg,169
20,1302,Of,Veg,544
21,674,Know,Veg,411
22,2360,Million,Veg,493
23,4300,Line,Veg,273
24,4113,Traditional,Veg,435
25,4572,Artist,Non-Veg,208
26,3583,Teacher,Non-Veg,302
27,1017,Material,Non-Veg,284
28,210,Father,Non-Veg,390
29,499,Woman,Non-Veg,427
30,429,Site,Non-Veg,191
31,3640,Off,Non-Veg,358
32,3152,Religious,Veg,421
33,2106,Green,Non-Veg,536
34,1554,Nothing,Veg,305
35,3207,Day,Veg,151
36,2570,Impact,Non-Veg,448
37,2629,Answer,Veg,280
38,1877,Around,Veg,537
39,4995,Pretty,Non-Veg,402
40,1068,List,Veg,102
41,1507,Somebody,Non-Veg,548
42,3014,World,Veg,498
43,1668,Religious,Non-Veg,183
44,4589,Water,Veg,313
45,4701,Hot,Non-Veg,133
46,4067,Off,Veg,149
47,948,Human,Non-Veg,388
48,4390,Tonight,Veg,428
49,1172,Ok,Veg,358
50,172,Meet,Non-Veg,357
51,4627,Win,Veg,487
52,1144,Light,Non-Veg,371
53,1860,Less,Veg,281
54,2189,Catch,Veg,132
55,2494,Now,Non-Veg,364
56,3578,Day,Veg,412
57,189,Say,Non-Veg,139
58,4077,Southern,Veg,585
59,158,Off,Veg,407
60,2718,Arm,Veg,309
61,1971,Clear,Veg,371
62,246,Card,Non-Veg,235
63,2904,Open,Non-Veg,186
64,2796,Us,Veg,159
65,3825,Newspaper,Veg,263
66,2378,Hundred,Non-Veg,102
67,850,Day,Veg,114
68,1811,Light,Non-Veg,201
69,3987,Tough,Veg,354
70,2127,Entire,Veg,324
71,4265,Hospital,Non-Veg,309
72,3031,Usually,Veg,122
73,2308,Experience,Non-Veg,334
74,3077,Bank,Non-Veg,230
75,2345,Can,Non-Veg,257
76,620,Together,Non-Veg,272
77,2903,Order,Non-Veg,116
78,2408,Room,Non-Veg,469
79,4453,Himself,Veg,541
80,3005,Bad,Non-Veg,413
81,3915,System,Non-Veg,579
82,2487,Seat,Veg,465
83,3403,Set,Non-Veg,284
84,3597,Capital,Veg,490
85,1678,Share,Non-Veg,522
86,4040,Bad,Non-Veg,433
87,1305,Majority,Non-Veg,541
88,4094,Purpose,Veg,283
89,1964,Song,Veg,242
90,3308,Data,Non-Veg,143
91,1362,Arrive,Non-Veg,111
92,4295,Continue,Veg,107
93,1788,Majority,Veg,179
94,1074,Home,Veg,396
95,1166,Letter,Non-Veg,261
96,3600,General,Veg,401
97,2718,Real,Veg,315
98,3154,Pay,Veg,347
99,4127,Short,Veg,128
100,3056,Visit,Veg,371
101,660,Month,Veg,232
102,4643,Practice,Veg,104
103,2583,Trial,Non-Veg,343
104,1130,Either,Veg,129
105,2275,Card,Non-Veg,216
106,4467,Create,Non-Veg,277
107,1469,Respond,Veg,597
108,2103,Person,Non-Veg,360
109,3267,Ground,Non-Veg,334
110,2472,Simple,Veg,240
111,1152,This,Non-Veg,582
112,93,Executive,Veg,404
113,2567,So,Veg,444
114,1282,Front,Veg,149
115,2901,Member,Veg,369
116,2800,Quality,Veg,207
117,3178,Knowledge,Veg,145
118,4512,Continue,Veg,573
119,2605,Score,Non-Veg,181
120,3882,Child,Veg,225
121,2414,Main,Non-Veg,183
122,1545,Whose,Veg,389
123,3531,Air,Veg,170
124,2647,Behavior,Veg,274
125,4785,Race,Non-Veg,415
126,2059,Whole,Non-Veg,429
127,4515,Billion,Non-Veg,562
128,1146,Might,Non-Veg,436
129,911,Consumer,Non-Veg,494
130,3307,Development,Non-Veg,453
131,1567,Station,Veg,190
132,2396,Truth,Veg,568
133,3006,Take,Non-Veg,450
134,4508,Message,Non-Veg,533
135,4249,During,Non-Veg,348
136,92,Performance,Non-Veg,231
137,3993,Pass,Non-Veg,268
138,331,Million,Veg,542
139,955,Performance,Veg,159
140,3781,Indeed,Veg,468
141,2602,Produce,Veg,436
142,2978,Pass,Veg,340
143,4290,Training,Veg,289
144,530,Bag,Veg,595
145,2893,Relationship,Veg,439
146,1267,Fact,Non-Veg,380
147,1474,Provide,Non-Veg,331
148,4735,Start,Veg,570
149,1598,Item,Veg,562
150,2526,At,Veg,388
151,4794,Through,Non-Veg,374
152,3762,Rather,Non-Veg,412
153,2743,Bank,Veg,114
154,4636,Protect,Non-Veg,140
155,4426,Teach,Veg,552
156,470,End,Veg,307
157,3831,Either,Veg,159
158,534,Certain,Veg,464
159,4563,Sing,Veg,339
160,4056,Yard,Non-Veg,195
161,3680,Dream,Veg,377
162,4088,Dream,Veg,526
163,762,Common,Veg,259
164,891,Through,Veg,496
165,2356,Third,Non-Veg,521
166,1956,Agent,Veg,381
167,2972,Use,Veg,599
168,1673,Family,Non-Veg,308
169,2837,Only,Veg,232
170,4928,Together,Veg,480
171,4940,Doctor,Veg,532
172,3645,Bit,Veg,196
173,2298,Nation,Non-Veg,318
174,4062,Former,Veg,488
175,3167,Arrive,Veg,584
176,1320,Strategy,Non-Veg,170
177,184,Media,Veg,531
178,1284,Wrong,Veg,373
179,2847,Under,Non-Veg,450
180,2234,Would,Veg,233
