order_item_id,order_id,item_id,quantity,item_price
1,3560,3025,1,487
2,2170,3071,2,103
3,3422,1075,2,192
4,1124,469,1,571
5,284,1916,2,332
6,384,4484,3,151
7,1579,736,2,156
8,3873,4750,3,113
9,2946,2857,4,277
10,4283,4478,2,195
11,624,96,2,401
12,545,912,3,480
13,914,4883,1,489
14,2138,4389,4,211
15,2544,3307,4,114
16,3733,4437,3,556
17,3996,719,1,436
18,1748,3005,2,518
19,2164,1374,1,305
20,1044,2429,1,460
21,2180,3682,3,382
22,1316,2810,1,160
23,1378,3220,1,459
24,3309,2614,3,381
25,223,505,1,232
26,4532,2266,1,542
27,4423,4061,4,279
28,2154,2985,3,402
29,2700,2797,3,453
30,3321,4932,3,329
31,567,3927,1,511
32,2043,3809,4,176
33,630,489,4,528
34,2736,2259,2,441
35,2518,2714,3,515
36,725,4355,4,135
37,4361,1251,4,466
38,4049,3961,4,307
39,2899,1415,3,574
40,1465,992,1,568
41,1308,400,2,437
42,1955,4405,2,223
43,4795,4056,1,394
44,154,4100,3,421
45,3512,1568,4,320
46,4067,3818,1,108
47,811,2274,2,387
48,151,1126,3,209
49,2223,3324,4,156
50,1079,2604,2,224
51,779,3500,2,157
52,4250,1566,2,188
53,3969,919,4,261
54,4597,4620,2,193
55,2554,4622,3,560
56,4245,1316,3,427
57,4104,4120,4,424
58,4689,1655,3,453
59,4565,3459,1,553
60,4547,1614,3,144
61,3679,242,2,312
62,4224,4299,2,576
63,3706,4333,3,165
64,3359,951,3,356
65,853,3070,4,535
66,4183,294,4,262
67,3966,4306,1,407
68,4630,788,3,303
69,3324,1633,1,190
70,4920,3074,3,584
71,4475,4071,1,208
72,456,2277,3,585
73,4414,4506,3,522
74,230,3315,3,313
75,4604,1492,1,254
76,4886,4554,2,182
77,3478,2602,4,117
78,3359,2261,4,549
79,760,1832,1,102
80,1791,386,3,497
81,4542,528,2,144
82,1367,1412,1,100
83,325,3351,1,107
84,877,4198,4,422
85,167,390,4,463
86,3665,1226,2,264
87,581,3639,3,432
88,4935,3793,2,193
89,1800,841,4,315
90,1110,1378,3,266
91,3628,235,2,178
92,2854,114,1,149
93,1173,3139,1,235
94,772,809,1,425
95,928,2151,3,311
96,2909,411,3,503
97,606,1319,4,277
98,3907,4087,2,160
99,4101,4904,3,216
100,4095,1588,3,334
101,1002,1061,2,132
102,3974,67,4,114
103,414,2254,3,216
104,4811,341,2,264
105,2015,3978,3,513
106,1488,2474,3,199
107,783,956,4,324
108,527,4305,1,579
109,1,2011,3,487
110,271,1889,4,159
111,2532,369,2,126
112,1072,1763,2,264
113,694,994,1,254
114,2888,82,2,465
115,3579,1188,1,377
116,1996,377,3,188
117,3578,3,1,352
118,1710,684,3,161
119,2100,3190,2,399
120,470,3728,1,135
121,2291,764,4,343
122,337,266,2,487
123,756,2483,2,481
124,2602,2730,2,293
125,1720,725,2,459
126,2100,2841,2,342
127,413,2424,4,174
128,3613,2414,4,420
129,3281,4863,4,580
130,4104,2476,1,533
131,2994,1065,2,552
132,3463,2292,1,433
133,247,2893,1,391
134,3779,4399,1,175
135,412,4466,2,200
136,3368,4947,2,252
137,4331,2323,1,358
138,2690,47,2,388
139,588,2165,1,187
140,1469,3662,2,459
141,233,2565,2,546
142,1887,3326,1,519
143,310,4928,4,433
144,944,2667,2,287
145,908,756,1,359
146,2749,3245,1,290
147,2526,1453,2,444
148,1601,905,2,386
149,2100,2455,1,289
150,546,3488,1,576
151,2349,4061,1,279
152,3824,3764,3,554
153,2689,779,2,279
154,3315,1791,3,234
155,4452,4928,1,433
156,4931,1602,3,356
157,4973,4740,4,462
158,1842,4509,1,266
159,1637,3844,4,268
160,1676,3676,3,184
161,4833,3858,4,488
162,1791,1006,3,364
163,3145,2701,2,184
164,3521,232,2,251
165,1842,3654,3,385
166,156,4587,1,379
167,934,2134,2,292
168,576,3837,3,153
169,1334,1691,1,263
170,3108,1224,2,504
171,4344,4971,3,307
172,1452,2204,1,319
173,4549,898,1,134
174,940,1870,3,285
175,3460,152,4,412
176,1094,1352,4,289
177,3942,172,4,196
178,2502,1430,4,580
179,4363,4858,1,165
180,1462,3434,4,188
181,2414,3200,3,211
182,3774,1899,1,435
183,1211,1360,4,404
184,3299,693,3,168
185,61,100,2,371
186,2216,3443,1,328
187,4251,3050,3,278
188,2832,1921,4,122
189,4818,428,3,581
190,4103,587,1,581
191,4619,2968,2,520
192,251,3205,4,313
193,1600,256,3,112
194,2168,1474,2,176
195,3141,721,1,389
196,1286,2001,4,144
197,1788,3008,2,222
198,1469,2628,1,495
199,4034,4503,4,125
200,1503,2290,3,470
201,1255,4211,2,101
202,4320,1732,1,260
203,4815,4902,3,299
204,2901,2178,4,220
205,3438,1581,2,165
206,28,3227,1,189
207,901,994,2,254
208,849,1997,3,384
209,101,4591,3,322
210,2106,1853,1,415
211,4511,82,2,465
212,3241,3851,2,462
213,3318,3013,3,515
214,1489,2717,2,136
215,1454,1456,2,448
216,1802,1198,2,103
217,4517,3113,1,525
218,4117,2917,3,149
219,4732,1312,4,209
220,3441,561,1,426
221,4560,2105,3,483
222,1516,2054,1,479
223,3922,1599,4,109
224,3167,945,1,337
225,24,579,1,364
226,396,915,4,235
227,1428,162,2,526
228,3205,775,3,561
229,1014,57,4,139
230,4518,1190,1,343
231,4227,4045,2,257
232,420,546,1,311
233,3350,2981,2,532
234,3966,4907,1,342
235,4871,4143,3,534
236,1427,1414,3,210
237,4271,2416,1,209
238,464,4084,4,170
239,390,3389,1,577
240,136,3204,1,174
241,2457,1413,4,498
242,2272,2630,4,552
243,601,572,1,552
244,619,1741,2,169
245,1577,3928,3,455
246,3770,348,2,485
247,2926,845,4,434
248,9,2666,3,167
249,1204,4593,1,541
250,1722,4792,3,340
251,594,3591,1,260
252,3761,2500,1,184
253,606,543,4,491
254,1470,216,2,182
255,1696,2901,4,237
256,1307,4394,4,579
257,1688,1370,3,144
258,3984,286,2,476
259,3727,3060,2,530
260,1049,4222,2,169
261,1736,51,2,487
262,4329,1726,3,400
263,3360,4567,3,575
264,685,1400,4,428
265,2339,3437,4,365
266,949,3304,2,415
267,3431,2718,4,246
268,2672,1330,3,201
269,305,4534,4,342
270,2398,3323,1,150
271,2001,2899,4,186
272,2527,2390,3,420
273,4226,749,2,358
274,187,524,1,393
275,1565,655,1,246
276,1910,4602,1,347
277,2283,4495,4,302
278,278,2954,4,347
279,1483,3190,1,399
280,4883,2109,1,453
281,1878,1939,2,486
282,4461,1205,2,436
283,4564,4040,1,382
284,1649,4083,2,161
285,1925,4063,3,171
286,2699,265,4,132
287,3800,3335,2,365
288,1298,712,3,314
289,1352,913,4,541
290,2909,1735,2,125
291,2232,1446,4,135
292,2029,2137,3,583
293,1218,332,3,157
294,272,3850,4,386
295,1324,3835,1,332
296,2244,152,2,412
297,2953,708,1,463
298,331,421,3,179
299,3558,253,4,572
300,2668,999,2,202
301,2547,3556,2,299
302,3472,293,1,496
303,1828,1241,2,456
304,1836,169,2,232
305,2129,2782,2,541
306,4957,37,3,280
307,3937,1445,1,413
308,2174,4392,3,215
309,3710,2368,4,496
310,130,923,4,342
311,1559,1821,1,467
312,2262,2443,4,502
313,3201,4745,3,369
314,3725,4379,3,441
315,3534,1663,3,575
316,1804,999,3,202
317,3129,4182,1,527
318,4694,4303,2,125
319,615,3947,4,535
320,3411,2525,1,274
321,4519,131,2,190
322,2382,4232,1,232
323,1865,3418,4,546
324,1953,2218,1,143
325,688,3017,4,426
326,3928,1187,1,352
327,4243,4295,1,491
328,3508,4835,3,401
329,2060,2813,1,381
330,2909,1518,1,495
331,3305,4199,2,283
332,2210,4644,3,358
333,1618,6,4,311
334,4043,711,3,501
335,1900,12,1,430
336,2035,2151,4,311
337,3572,1714,1,315
338,3974,4523,3,384
339,2953,4267,3,129
340,4648,4185,1,155
341,726,3419,1,105
342,3504,4951,1,465
343,3528,3283,2,373
344,1178,3605,3,588
345,4086,2648,2,299
346,3410,3597,3,217
347,2341,3983,3,515
348,2484,178,4,373
349,4262,2611,4,237
350,3042,4514,3,512
351,3524,554,4,513
352,4880,3390,3,581
353,1560,242,3,312
354,401,4000,1,549
355,4211,1380,4,176
356,4447,1597,2,581
357,3332,3530,2,206
358,2866,2005,4,239
359,4972,1947,3,575
360,1250,1301,2,309
361,614,3090,4,529
362,4227,3396,2,472
363,1955,1071,1,289
364,4277,4918,3,204
365,349,3785,1,541
366,2519,1789,2,238
367,161,4288,3,569
368,114,1773,3,212
369,1486,3806,3,401
370,1629,2215,4,363
371,4239,57,4,139
372,3684,238,3,198
373,2499,733,3,494
374,1996,3890,3,520
375,2110,2825,1,292
376,596,1228,1,184
377,940,4238,2,490
378,1300,2455,3,289
379,3751,4912,3,416
380,1153,4306,1,407
381,4460,768,2,576
382,2095,3384,2,493
383,3017,2425,3,298
384,1398,3425,4,524
385,2870,4549,2,111
386,4756,714,2,212
387,1161,86,3,433
388,796,1579,3,141
389,4131,2017,3,168
390,2918,3487,1,408
391,2540,3428,3,409
392,4354,3715,4,479
393,2435,4740,4,462
394,4366,1272,2,545
395,2001,3814,1,517
396,3119,1625,2,450
397,2742,2409,1,106
398,954,4846,3,531
399,1726,2852,2,362
400,1511,1398,4,333
401,1587,1966,1,236
402,1742,4157,2,114
403,2459,3242,4,308
404,2893,1531,4,149
405,1975,775,3,561
406,1393,2462,1,229
407,3338,116,2,207
408,2833,1350,4,168
409,790,2746,1,282
410,300,3244,3,405
411,3851,2848,1,529
412,1322,627,1,323
413,4470,4619,2,193
414,2110,1640,1,342
415,2386,2223,3,568
416,3447,2946,4,442
417,4570,2422,2,262
418,4208,4728,4,117
419,619,237,1,349
420,4891,3058,3,289
421,883,968,4,479
422,1704,4539,3,180
423,2796,2832,1,189
424,2420,3928,1,455
425,4692,1020,4,343
426,3829,2007,2,400
427,508,2894,3,202
428,2036,1563,3,576
429,1418,842,3,414
430,2861,4731,1,537
431,3580,2204,1,319
432,2386,813,4,557
433,1287,3900,4,426
434,926,3762,1,519
435,229,3198,2,537
436,1769,1710,3,549
437,2422,1065,3,552
438,4913,4282,1,134
439,3257,2509,2,276
440,4965,1719,2,590
441,4543,3333,2,273
442,3153,2594,2,503
443,4894,1473,2,470
444,1234,699,4,159
445,3036,945,1,337
446,2597,137,1,268
447,1310,1226,1,264
448,469,4989,3,530
449,2417,2703,2,375
450,3796,4717,2,519
451,854,2205,3,198
452,1124,3327,2,502
453,1621,2229,2,359
454,3032,2457,2,202
455,4821,4949,2,318
456,3975,3803,2,323
457,3030,3100,4,162
458,1471,3735,1,277
459,2462,4967,4,244
460,93,4708,2,252
461,1277,1539,1,286
462,3722,1569,1,168
463,4657,3271,1,380
464,1657,4165,1,475
465,3111,602,3,202
466,4642,2065,1,324
467,3430,4975,3,493
468,4874,3907,3,138
469,188,546,1,311
470,4704,184,2,397
471,4771,838,2,385
472,2346,1893,1,503
473,1104,1389,1,468
474,2227,1942,3,374
475,1281,1458,4,320
476,4314,3271,3,380
477,4094,2801,2,417
478,2315,3304,4,415
479,1341,2771,4,373
480,591,1454,4,524
481,679,3636,3,389
482,616,3287,3,461
483,850,1173,1,533
484,2008,1712,3,512
485,4823,781,3,146
486,4171,1029,4,132
487,2785,4724,4,588
488,336,2251,3,355
489,804,4150,2,590
490,4951,4384,4,552
491,363,3670,1,464
492,2022,1069,2,369
493,2570,284,4,157
494,3031,833,1,515
495,2076,4678,4,165
496,3387,3489,1,122
497,905,4368,4,111
498,4459,3213,4,330
499,2086,917,3,480
500,2712,571,2,104
501,3705,2800,2,330
502,144,2095,3,538
503,3650,3239,4,369
504,3269,4568,2,380
505,1070,4907,1,342
506,2186,621,1,476
507,2538,4773,4,173
508,4437,771,4,163
509,302,4794,1,485
510,2166,3348,4,560
511,1761,1615,3,249
512,4247,65,2,263
513,2655,3699,1,300
514,4868,202,3,379
515,1449,4238,1,490
516,632,3170,1,213
517,362,2865,4,307
518,4192,1158,2,331
519,4388,2310,3,277
520,2075,102,1,104
521,4401,377,1,188
522,2771,206,4,403
523,2918,3725,3,166
524,769,4857,4,591
525,986,2058,4,313
526,205,3664,3,484
527,867,1635,2,246
528,2626,1061,4,132
529,662,2824,1,349
530,679,890,2,494
531,300,1563,1,576
