order_id,customer_id,restaurant_id,order_date,order_status,payment_mode
1,322,461,2025-05-25,Delivered,Card
2,4511,3307,2025-04-19,Delivered,Card
3,1875,2303,2025-04-29,Delivered,Card
4,3040,2634,2025-02-09,Delivered,UPI
5,2238,1352,2025-12-27,Delivered,Card
6,4022,362,2025-06-23,Delivered,Card
7,1257,788,2025-11-05,Delivered,UPI
8,2440,209,2025-10-26,Delivered,UPI
9,4010,267,2025-06-03,Delivered,Card
10,3241,4752,2025-10-04,Delivered,UPI
11,4264,554,2025-11-18,Delivered,Card
12,3303,1588,2025-10-10,Delivered,COD
13,2712,4517,2025-05-09,Cancelled,UPI
14,1410,1119,2025-10-13,Delivered,COD
15,2429,1514,2025-03-25,Delivered,Card
16,1833,1927,2025-11-06,Delivered,UPI
17,2025,3404,2025-07-16,Delivered,UPI
18,3347,3062,2025-03-02,Cancelled,Card
19,4994,221,2025-11-04,Cancelled,UPI
20,3932,2345,2026-01-22,Delivered,UPI
21,2912,1972,2025-03-15,Delivered,UPI
22,4958,4439,2025-10-29,Delivered,COD
23,4246,4689,2025-10-06,Delivered,Card
24,3214,4065,2025-02-15,Delivered,Card
25,2164,1985,2025-05-14,Delivered,Card
26,4920,892,2025-08-23,Delivered,UPI
27,1453,4803,2025-12-10,Delivered,UPI
28,2754,3527,2025-03-27,Cancelled,UPI
29,2902,1206,2025-05-18,Delivered,Card
30,3072,4853,2025-02-01,Delivered,COD
31,4047,1219,2025-02-27,Delivered,Card
32,306,1856,2025-08-15,Delivered,Card
33,1385,2000,2025-03-16,Delivered,COD
34,3368,2436,2025-08-27,Delivered,UPI
35,1575,2975,2025-02-03,Delivered,UPI
36,873,3099,2025-03-04,Delivered,Card
37,169,3387,2025-09-13,Delivered,COD
38,1604,4544,2026-01-11,Cancelled,Card
39,1031,1817,2025-03-21,Delivered,Card
40,1735,1778,2025-07-16,Delivered,COD
41,4443,2505,2025-04-23,Delivered,COD
42,3668,2940,2025-08-04,Delivered,UPI
43,4831,839,2025-11-17,Delivered,Card
44,1277,2702,2025-10-31,Delivered,COD
45,543,4760,2025-05-07,Delivered,COD
46,355,4861,2025-09-15,Delivered,COD
47,4809,3139,2025-09-09,Delivered,COD
48,4037,176,2025-02-15,Delivered,Card
49,3440,4606,2025-09-23,Delivered,Card
50,584,3687,2025-02-25,Delivered,Card
51,511,3163,2025-06-27,Delivered,COD
52,947,2753,2025-03-29,Delivered,UPI
53,3474,1190,2025-03-02,Delivered,COD
54,1199,4698,2025-10-26,Delivered,Card
55,2872,838,2025-05-19,Cancelled,Card
56,3996,3899,2025-10-12,Delivered,Card
57,3922,3852,2025-04-23,Delivered,UPI
58,4174,2734,2025-05-22,Delivered,UPI
59,4536,3811,2025-11-08,Delivered,Card
60,3304,2654,2025-11-24,Delivered,COD
61,2448,3251,2025-03-21,Delivered,Card
62,3285,3350,2025-08-13,Delivered,Card
63,1217,3311,2025-10-12,Delivered,UPI
64,1291,4681,2025-10-17,Delivered,UPI
65,4222,2387,2025-03-26,Delivered,UPI
66,502,374,2025-10-10,Delivered,UPI
67,2872,4676,2025-12-28,Delivered,Card
68,387,4613,2025-07-09,Delivered,COD
69,412,1262,2025-05-19,Delivered,Card
70,2007,121,2025-10-01,Delivered,Card
71,2148,3846,2025-03-27,Delivered,COD
72,3869,2885,2025-10-30,Delivered,Card
73,1339,2618,2025-08-16,Delivered,COD
74,353,4139,2025-05-21,Delivered,UPI
75,4965,3269,2025-12-19,Delivered,UPI
76,3189,2043,2025-09-24,Delivered,UPI
77,1303,2120,2025-06-21,Delivered,COD
78,847,491,2025-11-18,Delivered,Card
79,526,4845,2026-01-11,Delivered,UPI
80,2525,3046,2025-03-02,Delivered,UPI
81,1879,383,2025-05-10,Delivered,Card
82,4106,805,2025-05-19,Cancelled,UPI
83,3631,1178,2025-05-28,Delivered,UPI
84,3810,2218,2025-06-20,Delivered,COD
85,2820,1296,2025-08-26,Delivered,Card
86,2908,918,2025-12-26,Delivered,COD
87,3078,4247,2025-04-05,Delivered,UPI
88,3831,4527,2025-05-02,Delivered,UPI
89,1059,2415,2025-05-08,Delivered,Card
90,2490,651,2025-05-07,Cancelled,UPI
91,3649,4916,2025-04-24,Cancelled,COD
92,3265,2287,2025-05-15,Delivered,COD
93,3602,2752,2025-09-12,Delivered,Card
94,2294,3199,2025-08-11,Delivered,Card
95,675,942,2025-05-27,Delivered,UPI
96,1879,541,2025-11-25,Delivered,Card
97,1012,2681,2026-01-17,Cancelled,Card
98,794,3728,2025-09-03,Delivered,UPI
99,233,2530,2025-05-16,Delivered,UPI
100,3028,1203,2025-09-19,Delivered,COD
101,3610,4965,2025-11-28,Delivered,COD
102,2174,651,2025-11-06,Delivered,Card
103,3385,3007,2025-12-18,Delivered,UPI
104,4607,4533,2025-03-13,Delivered,Card
105,2329,2905,2025-08-10,Delivered,COD
106,798,314,2025-11-02,Delivered,Card
107,3685,4115,2025-09-19,Delivered,COD
108,4488,1184,2025-09-03,Delivered,COD
109,4478,4914,2025-11-10,Delivered,Card
110,2590,122,2025-05-29,Delivered,COD
111,4702,169,2025-12-29,Delivered,COD
112,4212,3683,2025-10-23,Delivered,UPI
113,509,4725,2025-10-16,Delivered,Card
114,1464,4122,2025-03-29,Delivered,Card
115,3363,3969,2025-02-21,Delivered,Card
116,3111,4018,2025-02-26,Delivered,COD
117,1048,3698,2025-09-20,Delivered,COD
118,4872,1730,2025-07-18,Delivered,COD
119,4436,3556,2026-01-23,Delivered,Card
120,169,1119,2025-03-11,Delivered,UPI
121,1562,2169,2025-06-13,Delivered,Card
122,3173,4222,2025-09-15,Delivered,Card
123,575,4782,2025-02-27,Delivered,Card
124,1743,3117,2025-12-22,Delivered,UPI
125,4571,4731,2025-02-03,Delivered,Card
126,4017,2430,2025-03-09,Delivered,UPI
127,2359,2008,2025-10-05,Delivered,UPI
128,4025,1051,2025-09-14,Delivered,Card
129,531,705,2025-06-15,Delivered,Card
130,991,2900,2025-02-01,Delivered,Card
131,2121,3208,2025-10-03,Cancelled,COD
132,4965,707,2025-11-06,Delivered,UPI
133,2442,3833,2025-04-23,Delivered,Card
134,2529,2009,2025-06-28,Delivered,UPI
135,2521,4722,2025-10-16,Delivered,COD
136,4409,4622,2025-03-18,Delivered,COD
137,1462,1598,2025-05-12,Delivered,Card
138,952,1067,2025-07-09,Delivered,UPI
139,965,1947,2025-11-23,Delivered,COD
140,2135,2800,2025-05-11,Delivered,COD
141,4455,96,2025-09-10,Delivered,UPI
142,695,2075,2025-03-03,Delivered,COD
143,2245,4932,2025-10-29,Delivered,UPI
144,2804,1919,2025-06-05,Delivered,Card
145,3912,1266,2025-07-30,Delivered,UPI
146,3025,2535,2025-11-30,Delivered,Card
147,1409,240,2025-09-21,Delivered,UPI
148,4594,1328,2025-06-14,Delivered,COD
149,2979,1143,2025-12-09,Delivered,Card
150,462,3224,2025-11-22,Delivered,UPI
151,1618,3849,2025-08-22,Delivered,Card
152,417,1416,2025-08-23,Delivered,UPI
153,1389,2399,2025-11-30,Delivered,UPI
154,4368,761,2025-09-14,Delivered,Card
155,4488,3643,2025-05-21,Delivered,Card
156,2595,1553,2025-02-06,Delivered,Card
157,4821,863,2025-04-11,Delivered,COD
158,1747,4036,2025-05-28,Delivered,UPI
159,3502,1156,2025-07-22,Delivered,UPI
160,2860,357,2025-08-29,Delivered,Card
161,3979,1672,2025-02-11,Delivered,UPI
162,4491,1329,2025-06-02,Delivered,UPI
163,4758,1030,2025-06-22,Delivered,UPI
164,853,2377,2025-04-19,Delivered,Card
165,3291,3242,2025-07-26,Delivered,UPI
166,1712,1992,2025-11-09,Delivered,UPI
167,2526,3872,2025-06-08,Cancelled,COD
168,3647,2386,2025-02-06,Delivered,COD
169,2031,3141,2025-03-17,Delivered,Card
170,237,882,2025-08-05,Cancelled,UPI
171,1057,539,2025-12-14,Delivered,UPI
172,2261,4833,2025-02-24,Cancelled,COD
173,2427,1858,2025-02-09,Delivered,Card
174,1026,3558,2025-04-30,Delivered,Card
175,909,4539,2025-11-21,Delivered,UPI
176,450,2197,2025-09-17,Delivered,COD
177,569,1951,2025-09-27,Delivered,COD
178,3499,1611,2025-08-09,Delivered,COD
179,2861,3164,2025-02-06,Delivered,UPI
180,2327,4464,2025-06-24,Delivered,UPI
181,4310,4008,2026-01-12,Delivered,UPI
182,1309,4676,2025-03-07,Delivered,COD
183,718,4752,2025-08-02,Delivered,Card
184,970,227,2025-12-01,Delivered,UPI
185,3346,592,2025-12-07,Delivered,UPI
186,2486,4120,2025-06-13,Delivered,Card
187,3656,2076,2025-04-09,Delivered,Card
188,2719,4949,2026-01-03,Delivered,COD
189,904,2672,2025-07-18,Cancelled,UPI
190,1451,1369,2025-04-25,Delivered,COD
191,1456,2023,2025-02-20,Delivered,UPI
192,4231,2079,2025-12-03,Delivered,COD
193,532,3951,2025-05-07,Cancelled,COD
194,2268,3882,2025-06-09,Delivered,Card
195,333,3322,2025-08-06,Delivered,UPI
196,1322,4146,2026-01-11,Cancelled,Card
197,4053,2437,2026-01-12,Delivered,Card
198,1709,1805,2025-07-02,Delivered,Card
199,3527,3360,2025-04-28,Delivered,UPI
200,401,1731,2025-06-04,Delivered,COD
201,3631,3663,2025-12-27,Delivered,COD
202,3038,2974,2025-03-28,Delivered,UPI
203,3992,1030,2025-10-31,Delivered,UPI
204,1479,412,2025-05-03,Delivered,COD
205,1915,1982,2025-04-22,Cancelled,COD
206,1058,662,2025-03-07,Delivered,Card
207,2994,1348,2025-03-17,Delivered,COD
208,42,3471,2025-04-24,Cancelled,Card
209,4897,1306,2025-11-04,Delivered,COD
210,2171,4287,2025-03-19,Delivered,COD
211,27,2834,2025-05-15,Delivered,COD
212,3534,4681,2025-11-22,Delivered,Card
213,2619,1854,2025-10-30,Delivered,Card
214,1171,4596,2025-09-25,Delivered,COD
215,3699,4676,2025-06-01,Delivered,Card
216,711,816,2025-06-15,Delivered,Card
217,3200,3506,2026-01-22,Delivered,Card
218,2424,1477,2025-05-28,Delivered,Card
219,2019,3514,2025-04-17,Delivered,UPI
220,4761,2038,2025-12-18,Delivered,Card
221,4879,1331,2025-06-04,Delivered,COD
222,2899,4876,2025-04-22,Cancelled,Card
223,2048,3807,2026-01-08,Cancelled,COD
224,1559,1150,2025-02-07,Delivered,Card
225,3595,7,2025-07-16,Cancelled,COD
226,1723,1437,2025-03-15,Cancelled,UPI
227,4053,3251,2025-02-09,Delivered,COD
228,1652,3540,2025-12-15,Delivered,Card
229,1779,695,2025-02-17,Cancelled,Card
230,684,2966,2025-09-20,Delivered,COD
231,1280,3300,2025-04-14,Delivered,UPI
232,2295,4844,2025-04-26,Delivered,Card
233,2011,4242,2025-11-06,Delivered,Card
234,1216,3368,2025-09-22,Delivered,COD
235,2583,4953,2025-06-04,Delivered,COD
236,1894,4383,2025-07-08,Delivered,UPI
237,314,26,2025-05-12,Delivered,COD
238,3995,4548,2025-02-19,Delivered,Card
239,444,2154,2025-08-20,Delivered,COD
240,1672,4336,2025-03-17,Delivered,UPI
241,2917,3490,2025-11-16,Delivered,UPI
242,3267,332,2025-10-24,Delivered,Card
243,4678,645,2025-11-06,Cancelled,COD
244,4644,1853,2025-04-26,Delivered,Card
245,3096,4131,2025-06-18,Delivered,UPI
246,4561,2924,2025-05-16,Delivered,UPI
