restaurant_id,restaurant_name,city,cuisine_type,rating
1,"Hernandez, Stanley and Rich",New Stevenberg,Chinese,4.7
2,"Wilson, Avila and Hall",Kellyview,Italian,3.5
3,"Fox, Munoz and Hernandez",East Gary,Fast Food,3.4
4,Johnson-Miller,South Joel,Chinese,4.5
5,Rodriguez-Lowe,Lake Johnborough,North Indian,3.6
6,Miller-Mcguire,Port Mckenzie,Italian,4.0
7,Mcgee Inc,Johnmouth,Fast Food,3.3
8,"Perez, Chavez and Fisher",South Jessicastad,North Indian,4.9
9,Schroeder-Church,East Stephanieport,North Indian,4.7
10,Browning Group,Haleyville,North Indian,4.7
11,"Mcneil, Davidson and Bowen",Donnaberg,North Indian,3.8
12,"Kelly, Conner and Jackson",Cynthiaberg,Chinese,4.5
13,"Duffy, Mccoy and Fletcher",Erinbury,Biryani,3.3
14,Matthews LLC,South Donaldville,Chinese,3.0
15,Quinn Ltd,Tonytown,Chinese,3.0
16,"Rogers, Miller and Salinas",Katherinemouth,Fast Food,4.2
17,"Ward, Howard and Davis",Millermouth,Fast Food,3.9
18,"Hamilton, Thomas and Randolph",South Desiree,Biryani,4.0
19,Moran-Johnson,East Stephanie,Fast Food,3.0
20,"Mercado, Hurst and Patterson",North Brianburgh,South Indian,3.8
21,Waller-Santiago,West Anna,Biryani,4.4
22,"Rivera, Ortiz and Vargas",West Julieland,Fast Food,3.9
23,"Miller, Watkins and Cuevas",South Michaelmouth,Biryani,4.5
24,"Watkins, Ferguson and Watson",Lake Lauren,Chinese,3.5
25,"Holmes, Morales and Armstrong",South Dustinville,Chinese,4.6
26,Oliver Inc,Andreahaven,Biryani,4.2
27,"Sullivan, Davis and Wood",Lake Amy,South Indian,3.4
28,Ho-Rice,Port Tara,South Indian,3.5
29,Nichols Inc,Danielchester,Biryani,4.3
30,Smith and Sons,Juliaville,Fast Food,4.7
31,"Hodges, Lewis and Holmes",Richmondborough,Italian,3.8
32,Myers Inc,New Lindafurt,South Indian,3.5
33,Gordon PLC,Brandonland,North Indian,4.7
34,"Simpson, King and Calderon",Jeffreystad,Chinese,4.3
35,"Ford, Burns and Newman",Rogerhaven,Biryani,3.9
36,Baker Group,Deleonborough,North Indian,4.0
37,Ramirez Group,Ashleyville,Biryani,3.4
38,Kline Ltd,Vickiside,Chinese,4.3
39,Thomas-Cox,Rodrigueztown,Chinese,3.7
40,"Richards, French and Martinez",Thomasbury,South Indian,5.0
41,Alexander PLC,East Karenmouth,South Indian,4.0
42,Johnson-Horton,Andrewsview,North Indian,4.0
43,"Gill, Gibson and Cortez",New Jasonfort,Biryani,4.1
44,"Thomas, Jones and Brown",North Jacqueline,Chinese,4.8
45,Roy PLC,Melissaborough,North Indian,4.6
46,Bautista LLC,South Michael,Italian,3.9
47,"Cole, Watts and Nichols",Kimberlyport,North Indian,4.4
48,"Oneill, Boyer and Yang",Brittanyburgh,Fast Food,4.2
49,"Ware, Tyler and Guzman",South Pamelaton,North Indian,4.0
50,Sharp LLC,Ashleyville,Fast Food,3.4
51,"Mitchell, Bailey and Carpenter",Patrickside,Fast Food,3.9
52,Smith-Allen,Cisnerosburgh,Fast Food,3.5
53,Steele and Sons,North Travis,Italian,4.8
54,Cowan-Martin,Coleburgh,North Indian,3.7
55,"Kim, Watkins and Skinner",Alyssaside,North Indian,4.9
56,"Spencer, Massey and Dickerson",Brownfurt,Italian,4.1
57,Murphy-Hill,Rodriguezchester,Chinese,4.3
58,"Burns, Murphy and Robbins",West Seanton,South Indian,4.1
59,Underwood LLC,Cuevaston,North Indian,3.3
60,"Jackson, Wallace and Taylor",South Juliaborough,South Indian,3.8
61,King LLC,Raymondside,Biryani,3.2
62,Mcgee-Gamble,Kevinmouth,Biryani,4.2
63,"Avery, Miller and Zavala",Lake Kathyview,Italian,3.9
64,"Jenkins, Wall and Mack",Longborough,Biryani,4.6
65,"Maldonado, Hamilton and Lawson",New Martin,Biryani,3.4
66,Curry-Terry,East Donna,Chinese,3.3
67,Miller and Sons,Lisahaven,Chinese,3.8
68,"Moore, Turner and Anderson",Richardburgh,Chinese,4.9
69,Hammond-Wright,Lake Helen,Biryani,4.4
70,Mcintyre-Todd,East Erikaborough,Italian,3.8
71,"Morgan, Harding and Powell",Port Andrewview,Fast Food,4.0
72,Snyder Ltd,West Robert,Fast Food,3.2
73,Johnson-Olson,Jamesmouth,South Indian,5.0
74,Mcclure LLC,Brightport,Fast Food,4.3
75,Morris-Wilson,Wagnerport,Fast Food,3.6
76,"Stokes, Murphy and Gonzales",Heatherland,Chinese,4.2
77,Alexander-Harris,Port Theresa,Chinese,3.2
78,Benson-Arellano,Rebekahmouth,Biryani,4.9
79,Perez-Copeland,Stephenmouth,South Indian,3.3
80,"Cook, Maxwell and Hernandez",Tylertown,North Indian,4.3
81,Hamilton-Reed,South Saraburgh,South Indian,3.5
82,Anderson PLC,Lake Christopher,South Indian,4.4
83,Bailey-Jordan,South Kevin,Italian,4.6
84,"Waller, Ellis and Stokes",Grahamchester,Biryani,4.3
85,Reeves and Sons,Chambersmouth,Italian,4.2
86,Johnson-Gonzalez,Keithside,South Indian,4.8
87,Hill-Stone,Davidhaven,South Indian,3.2
88,Mason PLC,New Emilyhaven,South Indian,3.7
89,"Ayala, Marsh and Villanueva",South Audreyborough,Fast Food,3.5
90,"Lawrence, Sanders and Garcia",Williamsmouth,Italian,5.0
91,"Fuller, Yoder and Rogers",New Joseph,South Indian,3.8
92,"Brooks, Dominguez and Davis",Stevenfort,Chinese,4.5
93,"Noble, Murphy and Stokes",Alexandraton,Biryani,4.4
94,Henry-Kramer,Port Staceychester,Biryani,3.4
95,"Knight, Nelson and Rogers",North Davidfort,Chinese,3.5
96,Bartlett-Houston,New Timothystad,Biryani,3.6
97,"Walker, Hall and Campbell",Benjaminfurt,Fast Food,3.8
98,Sanchez Group,Danielhaven,Fast Food,3.5
99,Perkins-Allen,Stacyton,North Indian,3.0
100,"Fuller, Warren and Copeland",Johnside,North Indian,4.8
101,"Murray, Miller and Jacobs",Danielsville,North Indian,4.9
102,Phillips-Williams,Oliverhaven,Biryani,3.7
103,"Robinson, Hernandez and Manning",North Donaldshire,Fast Food,3.7
104,Peters-Phillips,East Michael,Fast Food,3.0
105,Jackson-King,Pamelaside,Fast Food,4.4
106,Paul LLC,South Kristy,Chinese,4.7
107,Aguirre-Henderson,Brooksberg,Fast Food,3.3
108,Anderson and Sons,Georgeside,Chinese,3.3
109,"Anderson, Case and Clayton",Burnsfort,North Indian,4.6
110,Phillips Ltd,Clarkehaven,North Indian,4.2
111,"Duran, Scott and Davis",Port Dianehaven,Biryani,3.1
112,"Owens, Cervantes and Dawson",Randallberg,North Indian,4.2
113,"Jenkins, Ayala and Williams",Smithstad,Biryani,3.6
114,Byrd-Delgado,North Daniel,South Indian,3.7
115,Meza-Cooper,Port Jonathan,South Indian,4.5
116,Gray Group,Port Daltonside,Italian,4.6
117,Castillo PLC,Georgebury,Biryani,3.8
118,"Johnson, Fisher and Foster",South Carlyberg,Italian,4.9
119,Williams-Hernandez,Morrisburgh,Italian,3.8
120,"Sharp, Chase and Walker",North Laura,South Indian,4.5
121,Tucker and Sons,West Colin,Biryani,4.0
122,"Griffith, Maxwell and Willis",Michelleville,South Indian,4.8
123,"Rivera, Singh and Oconnor",Davidhaven,Italian,4.8
124,"Torres, Davis and Cabrera",Lopeztown,Biryani,3.2
125,"Williams, Berry and Lynn",Lake Nicholasville,Italian,4.9
126,"Frazier, Myers and Reed",Reyesburgh,Fast Food,4.7
127,Rodriguez-Hernandez,East Sarahtown,Biryani,4.6
128,Brown Group,Susanburgh,Biryani,3.4
129,Brown Inc,Barbarahaven,Italian,4.6
130,Wright-Fisher,Riosside,Fast Food,4.7
131,Fuller-Thompson,Maymouth,Chinese,3.6
132,Douglas and Sons,Port Tonyashire,South Indian,4.9
133,Mendoza Ltd,West Jessica,Italian,3.1
134,"Cabrera, Richardson and Phillips",New Ronaldmouth,Biryani,3.3
135,Kim Inc,Amandashire,South Indian,4.1
136,Gregory LLC,Jessicafort,South Indian,4.2
137,"Wilkinson, Gilbert and Schwartz",Waltersville,South Indian,4.3
138,"Ryan, Brock and Anderson",Gatesfurt,Chinese,3.0
139,Morales-Bennett,Chambersshire,North Indian,4.9
140,Beard Ltd,New Brianbury,Italian,3.1
141,Esparza-Rodriguez,New Justin,North Indian,3.3
142,"Miller, Salazar and Soto",Bakerhaven,North Indian,3.0
143,Mcdaniel and Sons,Scottport,North Indian,4.1
144,Myers and Sons,Port Jenniferland,South Indian,4.9
145,Castro-Rodriguez,Jasmineport,Fast Food,4.3
146,"Matthews, Gamble and Bright",Lake Stevenport,South Indian,4.6
147,"Garrett, Mclaughlin and Fischer",Hancockborough,South Indian,3.0
148,Berg LLC,West Robert,Biryani,4.1
149,"Lewis, Ingram and Beck",North Meghan,Biryani,3.9
150,"Griffin, Norton and Lopez",East Ricardoview,North Indian,4.0
151,Phillips Group,Port Melissabury,South Indian,3.1
152,"Zavala, Thomas and Carlson",Singletonfurt,North Indian,4.4
153,"Roberson, Hunter and Garcia",Port Jared,Biryani,4.0
154,Middleton-Clark,Nguyenberg,Fast Food,4.5
155,Hayden-Shepherd,New Ryan,Italian,4.0
156,"Watts, Chang and Hansen",South Melodyberg,North Indian,3.3
157,Williamson-Sanchez,West Williamland,Fast Food,4.3
158,Holmes-Coleman,Harveybury,Italian,3.3
159,"Shepherd, Wilson and King",South Penny,Chinese,4.7
160,Lowe Ltd,Fergusonfort,North Indian,4.2
161,"Villa, Ford and Hoover",Ashleychester,North Indian,3.3
162,Hill-Booth,New Michelleside,Chinese,4.9
163,"Pruitt, Spencer and Suarez",Lake Tyronefort,Chinese,4.0
164,"Hunter, Rowe and Savage",South Kelseyville,North Indian,3.1
165,"Young, Phillips and King",Anthonyberg,Chinese,4.3
166,Bell-White,Lake Donald,South Indian,3.5
167,Jackson-Miller,East Jay,Italian,4.6
168,Shannon-Smith,Mitchellborough,Italian,4.6
169,"Marquez, Campbell and Figueroa",New Robertview,Italian,5.0
170,Soto Inc,Hollowayland,South Indian,4.0
171,Williams PLC,West Donnaberg,Chinese,3.9
172,Wilson Group,Christinaborough,Fast Food,4.5
173,Walters-Morgan,Emmahaven,Chinese,3.3
174,Wright Group,Garnerstad,North Indian,4.1
175,"Collier, Jones and White",Jonesborough,Biryani,4.1
176,"Lowery, Kim and Mullen",Whiteport,Italian,3.2
177,"Mccoy, Perez and Riley",East Josephville,Chinese,3.8
178,Buchanan LLC,Port Kathleenberg,Fast Food,4.7
179,Taylor Ltd,West Kevinport,North Indian,4.7
180,"Kelly, Brown and Marshall",Rodriguezberg,South Indian,3.2
181,"Williams, Turner and Hayes",Elizabethberg,South Indian,3.2
182,Day Ltd,Debrashire,Fast Food,3.5
183,York PLC,Nathanielburgh,North Indian,4.7
184,"Salas, Wright and Davis",Gomezport,Italian,3.3
185,Jensen PLC,New Olivia,Chinese,4.4
186,Nichols-Benitez,South Carl,North Indian,3.2
187,"Washington, Williams and Landry",Whitakerborough,South Indian,4.2
188,"Williams, Parker and Sanchez",West Wendyport,Fast Food,3.7
189,Barnes Group,Jonesmouth,Fast Food,4.6
190,Robinson-Hardy,South Jessica,Chinese,3.5
191,"Hayes, Johnson and Martinez",New Janethaven,Fast Food,4.3
192,Walsh Group,South Anna,Fast Food,3.5
193,Beck and Sons,Hamiltonshire,North Indian,4.4
194,"Martin, Ortiz and Dorsey",New James,Italian,4.7
195,Le LLC,Port Shelley,Chinese,3.3
196,Hicks PLC,Mosesmouth,North Indian,4.7
197,Scott-Sanchez,Parsonsville,Italian,4.2
198,"Butler, Hale and Monroe",Juanstad,North Indian,3.3
199,"Dixon, Moore and Pittman",Blanchardport,Biryani,3.9
200,Taylor-Murphy,New Staceyview,North Indian,3.3
201,Brown-Mcclain,Gentrymouth,Fast Food,4.4
202,"Green, Christian and Martinez",Maryberg,Italian,4.5
203,Alvarez LLC,New James,Chinese,3.2
204,Patel-Patton,Nicolestad,Chinese,4.0
205,Taylor Group,Robertview,Italian,4.6
206,Thompson-Huff,Port Ronaldbury,Fast Food,4.9
207,Hayes Inc,Murphyburgh,South Indian,4.0
208,Rodriguez-Liu,Lake Larry,North Indian,4.9
209,Mills Inc,Carrollhaven,Fast Food,4.1
210,Alvarez-Lester,North Christopher,Biryani,3.8
211,Nichols-Munoz,East Reginaland,Italian,4.7
212,Wheeler-Tyler,Justinberg,North Indian,4.0
213,Wright Inc,Lake Stephanieland,Chinese,3.9
214,Hayden Group,Curtisberg,South Indian,4.0
215,Clark PLC,Lopeztown,Biryani,4.7
216,"Cannon, Carpenter and Campbell",Matthewville,Chinese,4.7
217,Graves-Fields,Ryanberg,Italian,3.8
218,Robinson-Larson,Whiteside,North Indian,3.7
219,"Morris, Mosley and Waters",Michaelborough,Italian,4.0
220,Simmons-Medina,Mcphersonberg,North Indian,4.1
221,"Benson, Camacho and Hendricks",Hardyburgh,Fast Food,3.5
222,Schwartz-Barrera,New Andrea,South Indian,4.6
223,Martin-Kennedy,Port Andrew,Fast Food,4.0
224,Woods-Wilson,South Julie,Fast Food,3.7
225,"Ball, Hammond and Wiley",Carlosland,Italian,3.2
226,Holden-Gomez,Davidstad,South Indian,3.5
227,"West, Berger and Garcia",Murphyville,North Indian,4.9
228,Collins LLC,East Ashleyshire,North Indian,3.6
229,Krueger and Sons,South Ashleyfurt,Biryani,3.3
230,Bryant-Jenkins,Lake Matthew,Chinese,3.9
231,Reid-Flores,Port Henry,Biryani,3.6
232,Johnson-Joseph,Friedmanfort,Biryani,3.1
233,"Brooks, Wolf and Moran",East Jamesborough,North Indian,3.6
234,Lane PLC,Christensenberg,Italian,4.1
235,"Smith, Blanchard and Horne",Hoganville,Fast Food,4.1
236,"Nguyen, Farrell and Cole",Welchville,Fast Food,3.7
237,Roach-Smith,Martinburgh,Fast Food,3.9
238,"Gray, Reed and Mcpherson",Buchananfort,South Indian,4.9
239,Jones Ltd,Debbiechester,North Indian,3.8
240,"May, Christensen and Rogers",Smithfurt,Italian,3.5
241,"Chase, Paul and Parrish",Christopherburgh,South Indian,3.5
242,Blackwell Group,East Scott,Chinese,3.9
243,Velasquez Group,West Jessicabury,Italian,4.5
244,Hayes-Welch,Port Hannahville,Biryani,3.4
245,Johnson-Rasmussen,North Tiffany,Italian,4.4
246,Buchanan and Sons,Lake Teresaburgh,Italian,3.0
247,"Murphy, Boyd and Gallegos",Johnstonville,Fast Food,3.8
248,"Cox, Carroll and Allen",Christopherview,Italian,4.6
249,"Patrick, Miller and Lopez",Hudsonstad,Biryani,3.7
250,Newton and Sons,Lake Toddmouth,Biryani,4.1
251,Patel Group,Markchester,North Indian,3.4
252,"Ali, Fowler and Thompson",South Courtney,Italian,4.5
253,Green-Gregory,South Vincent,Fast Food,3.1
254,Hill-Edwards,Fischerville,Italian,4.7
255,Zhang-Smith,Davisville,Chinese,3.4
256,Barton-Roberts,North Nicoleburgh,Chinese,4.7
257,Palmer Inc,Holmestown,Fast Food,3.7
258,"Terrell, Keller and Lester",Loriborough,North Indian,4.4
259,"Wilson, Smith and Ponce",Port Jacquelineville,North Indian,3.6
260,Lam-Morrison,Lisaside,Biryani,4.8
261,"Warner, Sims and Nelson",Richardton,Biryani,3.3
262,"Tucker, Jacobs and Smith",Andersonfort,South Indian,3.4
263,"Gonzales, Ingram and Hill",Melanieberg,Fast Food,4.0
264,Williams LLC,East Mirandabury,Italian,3.2
265,Anderson-Patel,Osbornland,Fast Food,3.4
266,"Morris, Wright and Smith",Jenniferland,South Indian,4.9
267,Webster-Underwood,Fieldsfort,Biryani,5.0
268,Nunez-Nichols,Lake Bryce,Fast Food,3.8
269,"Cooper, Clark and Tanner",Lake Madisonburgh,Fast Food,4.8
270,Griffin PLC,Jessicamouth,Biryani,4.1
271,Casey-Murray,East Christy,South Indian,3.5
272,Thompson Inc,Port Wanda,Biryani,4.4
273,"Krueger, Brown and Nelson",Lake John,North Indian,4.3
274,"Kim, Franklin and Cline",Lake Makaylabury,Italian,5.0
275,Anderson and Sons,West Nancytown,Biryani,3.5
276,"Rogers, Lee and Roberts",New Geraldtown,South Indian,4.3
277,Mclaughlin Inc,West Karenhaven,Chinese,3.1
278,Dennis-Garcia,Ellisville,North Indian,3.2
279,Garcia-Smith,New Shane,Chinese,3.0
280,Clark Group,Gregborough,Biryani,5.0
281,Patterson PLC,South Davidburgh,North Indian,4.6
282,Walker Group,Jenniferview,Italian,4.6
283,Dominguez-Wilson,South Anne,Biryani,4.0
284,Garcia-Garcia,Whitneyton,Italian,3.6
285,Edwards-Cortez,Brownside,Fast Food,3.3
286,Zimmerman-Mcdonald,Kathrynstad,Chinese,3.6
287,Weeks Group,South Janestad,North Indian,3.8
288,"Elliott, Matthews and Farley",South Stephaniefort,Italian,4.5
289,"Gillespie, Johns and Smith",North Michellehaven,South Indian,4.1
290,"Taylor, Shepard and Lopez",Lake Maryside,Italian,3.2
291,Jones-Terry,Timothybury,South Indian,3.0
292,Riley-Moore,North Melissa,Biryani,3.2
293,"Martin, English and Webb",Meaganport,North Indian,3.8
294,Griffin and Sons,Kaylamouth,Italian,4.9
295,Henderson PLC,West Georgeview,Italian,4.3
296,Butler LLC,Bartletttown,North Indian,4.6
297,Payne PLC,West Traviston,Italian,3.9
298,"Davis, Conner and Willis",Michaelmouth,South Indian,3.7
299,Jones LLC,West Michael,Italian,3.2
300,Rodriguez Inc,Anthonystad,Chinese,4.8
301,Ward-Donovan,West Jennifer,Biryani,4.6
302,Miller Group,New Emily,Fast Food,3.3
303,"Vasquez, Hall and Stark",West Daniellemouth,South Indian,4.0
304,Decker-Downs,New Justinberg,Chinese,4.0
305,Davis-Benson,Kellimouth,Biryani,4.3
306,Garcia LLC,Michaelmouth,North Indian,4.9
307,Newman-Johnson,Jenniferside,South Indian,4.2
308,Gomez-Brown,East Joyceburgh,Fast Food,4.1
309,Kelly PLC,Petersenbury,Biryani,3.1
310,Stephenson-Lopez,Wrightville,Fast Food,3.1
311,Bell-Watson,South Rodneyport,North Indian,3.4
312,Keller PLC,East Tiffany,North Indian,3.1
313,Johnson-Mcfarland,Warnermouth,South Indian,4.5
314,Lang LLC,Jonesberg,Italian,4.4
315,"Phillips, Calhoun and Jacobson",North Dylan,North Indian,3.3
316,Baker Ltd,East Anthony,Biryani,4.7
317,Sanchez LLC,Connieland,Italian,3.3
318,"Gamble, Huff and Perry",Seanshire,Chinese,3.6
319,"Miller, Smith and Taylor",Heathhaven,Fast Food,3.5
320,Schneider and Sons,South Anthonybury,Italian,3.7
321,"Barron, Allen and Russell",West Aaronmouth,Fast Food,3.5
322,Fleming-Booth,New Carolfort,Italian,4.0
323,Collier and Sons,South Christopher,Chinese,3.8
324,Oconnell-James,Port Brettview,North Indian,5.0
325,Howard-Lopez,Port Sara,Chinese,3.1
326,"Payne, Burnett and Gonzales",Nelsonberg,North Indian,3.3
327,"Evans, Day and Jackson",New Rhonda,North Indian,3.1
328,Wolfe Inc,Jamesmouth,Fast Food,4.3
329,Peterson Inc,Shannonborough,Biryani,3.1
330,Shields-Acevedo,New Heather,Chinese,4.7
331,Ayers Ltd,Brownborough,Italian,4.0
332,Deleon-Scott,New Erin,Chinese,4.1
333,Banks-Randall,Lozanotown,Fast Food,4.1
334,Hernandez-Ashley,South Elizabeth,North Indian,3.3
335,"Shaw, Gonzalez and Reese",North Maryberg,Fast Food,3.4
336,"Sandoval, Alexander and Lee",Sarahstad,South Indian,3.6
337,Cole Group,Christinatown,South Indian,4.2
338,Norman and Sons,Port Lisa,Italian,3.4
339,Williams-Odom,Lake Kathleenberg,Fast Food,3.2
340,Sanchez and Sons,West Jamesport,Italian,4.9
341,"Reynolds, Weaver and Shaw",Joannaton,Italian,3.0
342,Carson Inc,West Sharon,South Indian,4.6
343,Allen-Lopez,South Stacieport,Italian,4.6
344,Solis-Brooks,Davisport,South Indian,3.6
345,Hess-Petersen,Wallschester,North Indian,3.3
346,Santiago Ltd,Lindseyfurt,Fast Food,3.3
347,"Reed, Sanchez and Roach",North Jamesburgh,Italian,4.4
348,"Tran, Campbell and Johnson",West John,South Indian,4.3
349,Little-Coleman,Port Leslieshire,Chinese,4.6
350,Taylor PLC,Amyville,Italian,4.9
351,Buchanan LLC,Christopherfurt,Biryani,4.4
352,"Gomez, Day and Nelson",Lake Catherineville,North Indian,3.3
353,Hawkins LLC,New Brian,North Indian,3.5
354,Burns-Castaneda,Curtisfurt,Chinese,4.7
355,Scott LLC,New Zachary,South Indian,3.4
356,"Brown, Casey and Norton",East Larryfurt,Italian,3.1
357,Weber Ltd,Taylormouth,South Indian,4.4
358,Lee Ltd,Christopherhaven,North Indian,3.8
359,"Miles, Smith and Alexander",Hernandezville,South Indian,4.8
360,"Saunders, Dawson and Thomas",Lake Jermaine,North Indian,4.3
361,"Smith, Williams and Gallegos",North Jennifer,South Indian,3.2
362,"Washington, Garcia and Sims",Larryfurt,Chinese,4.9
363,"Hardy, Dawson and Hayes",Kathystad,Fast Food,3.5
364,"Brown, Davis and Marshall",Matthewfort,Chinese,3.7
365,Hines-Mcdonald,Wendyside,Chinese,3.8
366,Lynch and Sons,East Anthony,Fast Food,3.1
367,"Morgan, Carter and Garcia",Glennland,Fast Food,4.0
368,Perez-Flores,Port Kenneth,Italian,3.2
369,Nguyen-May,New Laurafurt,Italian,3.8
370,Bowman Inc,New Melanie,Chinese,3.7
371,Bell-Cameron,West Danielport,Chinese,4.5
372,Golden-Ware,Garciaton,North Indian,4.6
373,Martinez LLC,Jonesborough,North Indian,3.3
374,Crawford-Bryan,South Paula,Italian,3.7
375,Anderson-Oconnor,West Joseshire,Biryani,3.7
376,Greene Inc,Cassieland,Biryani,3.3
377,Patton PLC,Lake Christopherchester,Italian,4.6
378,Hines-Wilcox,Annatown,North Indian,4.4
379,Jordan and Sons,Port Davidberg,North Indian,3.4
380,Black-Smith,South Katrina,Biryani,3.7
381,Franco-Lewis,Port Jackville,South Indian,3.2
382,"Case, Thomas and Bartlett",North Noah,South Indian,4.3
383,Stein Ltd,Sanchezmouth,North Indian,3.2
384,Harrington-Wright,Johnsmouth,South Indian,5.0
385,"Hoffman, Shaw and Hart",Kyleville,Fast Food,4.6
386,"Randolph, Martinez and Roberts",Port Vincent,Italian,3.8
387,Dickson PLC,Lisaton,Italian,4.2
388,"Ruiz, Huff and Miller",Chasechester,North Indian,4.8
389,"Taylor, Chapman and Potts",Pottsland,Chinese,4.1
390,Bender-Shelton,New Michael,Biryani,3.3
391,"Howe, Nelson and Alexander",Scottchester,North Indian,3.8
392,"Wong, Miller and Dean",Melissaborough,South Indian,4.7
393,Turner-Newman,Hardymouth,Biryani,4.3
394,Adams and Sons,East Timothy,Chinese,4.3
395,"Savage, Dean and Howard",West Emilytown,South Indian,4.7
396,Perez-Murphy,Port Sarahtown,Fast Food,4.8
397,Rogers and Sons,West Brendafort,South Indian,4.8
398,"Scott, Davis and Wagner",North Douglas,Fast Food,3.2
399,Davis-Wallace,New Phyllis,Biryani,4.1
400,Rogers Ltd,Johnsontown,Fast Food,4.5
401,"Hart, King and Campbell",New Brendaville,Biryani,4.5
402,Butler-Rice,Mirandaport,Biryani,4.2
403,Smith Inc,Port Jason,Biryani,3.3
404,"Hunt, Murray and Flores",Richardmouth,Biryani,4.6
405,"Reese, Patrick and Shaffer",Vincentside,Biryani,4.4
406,Rose LLC,North Paul,South Indian,3.2
407,Klein-Cox,South Brentchester,Biryani,3.9
408,Martin-Taylor,West Erin,South Indian,3.3
409,Valdez PLC,Garrettburgh,Biryani,3.7
410,"Johnson, Phillips and Johnson",Richardsonstad,Fast Food,3.0
411,Terrell PLC,West Kaitlin,Biryani,3.8
412,"Smith, Green and Mckinney",East Samantha,Chinese,4.1
413,"Gomez, Spencer and Cross",Jenniferborough,Biryani,4.2
414,Wells LLC,Montoyachester,Biryani,4.3
415,Chavez-Thomas,Lake Katelyn,Fast Food,4.7
416,Williams-Woods,East Jose,Italian,3.4
417,"Wilson, Garcia and Crane",North Sarahland,Fast Food,3.2
418,Brown and Sons,Smithton,Chinese,4.7
419,Meyers-Meyer,Lake Brandibury,Italian,3.3
420,Cabrera-Casey,West Shawnchester,North Indian,4.9
421,Wilcox PLC,Lake Cynthiabury,North Indian,4.7
422,Smith PLC,Amandaview,Chinese,4.0
423,Castro-Murphy,New Christophermouth,Fast Food,5.0
424,Johnson LLC,Howardtown,South Indian,3.2
425,"Phelps, Olson and Cook",Gonzalezton,Chinese,3.6
426,Walker PLC,Kylefort,Italian,4.3
427,Yoder-Gomez,Melissafurt,Italian,3.7
428,Kelly PLC,New Jennifer,Biryani,4.9
429,"Davila, Clark and Buchanan",Carlfort,North Indian,3.1
430,Thomas Inc,Martinezton,Italian,4.1
431,Davis and Sons,North Jessica,Chinese,4.2
432,"Schmidt, Johnson and Adams",Shannonfurt,Italian,4.3
